epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0679,2.30034,2.95199,3.16475,1.20923,0.50833,0.1382,0.18105,0.06866,0.52998,0.14408,0.21034,0.07067,2.08341,2.4436,3.20071,1.08145,0.000660767,0.000660767,0.000660767
2,141.953,2.09979,2.49364,2.00004,1.12928,0.40434,0.38167,0.31581,0.11469,0.37939,0.34382,0.29084,0.09913,2.21778,2.60591,2.12032,1.18087,0.00130115,0.00130115,0.00130115
3,204.612,2.1338,2.49718,1.70353,1.13314,0.55699,0.46137,0.47632,0.19286,0.51803,0.41362,0.42204,0.15259,1.92154,2.33135,1.54898,1.07945,0.00191513,0.00191513,0.00191513
4,265.341,2.0602,2.4331,1.52329,1.10974,0.46198,0.34763,0.31815,0.10023,0.41024,0.30433,0.27364,0.07855,2.30401,2.59832,1.86822,1.18831,0.0018812,0.0018812,0.0018812
5,326.361,2.05764,2.34563,1.4843,1.10762,0.59798,0.48129,0.48737,0.16621,0.50605,0.38546,0.36682,0.10125,2.15938,2.53279,1.38437,1.11389,0.0018416,0.0018416,0.0018416
6,388.238,2.00432,2.42108,1.44942,1.08568,0.47681,0.35855,0.31325,0.0927,0.4606,0.34636,0.30319,0.08966,2.43944,2.70626,1.90902,1.26226,0.001802,0.001802,0.001802
7,449.075,1.96873,2.31602,1.38693,1.07512,0.49899,0.44725,0.43916,0.17373,0.46809,0.33847,0.36778,0.11811,2.0008,2.47085,1.39276,1.05949,0.0017624,0.0017624,0.0017624
8,509.781,1.92774,2.27685,1.34413,1.06026,0.54408,0.48306,0.48723,0.1879,0.47431,0.40353,0.40665,0.13798,1.87967,2.34676,1.34775,1.04119,0.0017228,0.0017228,0.0017228
9,570.464,1.91431,2.29018,1.34114,1.0637,0.57097,0.48837,0.49822,0.2025,0.55583,0.43085,0.46207,0.16975,1.85139,2.16346,1.36701,1.04584,0.0016832,0.0016832,0.0016832
10,632.982,1.91075,2.25751,1.32158,1.05018,0.61325,0.49264,0.52463,0.20027,0.52098,0.40138,0.42937,0.14506,1.91868,2.15707,1.30253,1.04621,0.0016436,0.0016436,0.0016436
11,693.337,1.87742,2.24673,1.287,1.04233,0.54287,0.43338,0.44617,0.17515,0.44049,0.3948,0.39103,0.1394,1.9414,2.322,1.36635,1.06087,0.001604,0.001604,0.001604
12,754.082,1.86215,2.2057,1.28993,1.03729,0.51381,0.46868,0.41234,0.14682,0.45349,0.41698,0.3542,0.10291,2.08182,2.8678,1.57022,1.12458,0.0015644,0.0015644,0.0015644
13,814.99,1.8365,2.17957,1.25571,1.03528,0.55465,0.51576,0.48003,0.18581,0.49372,0.45691,0.43332,0.144,1.96786,2.35918,1.3442,1.06638,0.0015248,0.0015248,0.0015248
14,876.599,1.83886,2.18978,1.26487,1.03302,0.59079,0.46406,0.48226,0.18774,0.51961,0.40815,0.43274,0.14727,2.03248,2.32756,1.3509,1.09899,0.0014852,0.0014852,0.0014852
15,936.972,1.82645,2.1466,1.2382,1.02224,0.55818,0.48592,0.47452,0.19341,0.51723,0.41698,0.42443,0.14511,1.89643,2.3176,1.39166,1.04462,0.0014456,0.0014456,0.0014456
16,996.66,1.78967,2.12469,1.22823,1.01177,0.60555,0.48676,0.50227,0.19246,0.51671,0.40353,0.43383,0.13943,1.96767,2.29897,1.27556,1.05796,0.001406,0.001406,0.001406
17,1058.23,1.78418,2.14029,1.19822,1.01742,0.58189,0.50189,0.50231,0.20298,0.5298,0.44758,0.46222,0.16421,1.88548,2.19265,1.25141,1.04097,0.0013664,0.0013664,0.0013664
18,1119.65,1.7972,2.17471,1.20131,1.01226,0.56735,0.51618,0.51658,0.21179,0.4854,0.43296,0.43289,0.15245,1.81043,2.26614,1.22601,1.01756,0.0013268,0.0013268,0.0013268
19,1180.93,1.79879,2.15283,1.19292,1.01033,0.56695,0.50357,0.5043,0.20274,0.49285,0.42581,0.43525,0.15004,1.87485,2.25093,1.2764,1.03384,0.0012872,0.0012872,0.0012872
20,1242.14,1.75555,2.11894,1.18824,1.00722,0.59305,0.49937,0.48719,0.18199,0.54275,0.41782,0.41051,0.13037,1.9227,2.46239,1.28051,1.05097,0.0012476,0.0012476,0.0012476
21,1304.29,1.73749,2.09083,1.15066,1.00313,0.58877,0.51336,0.50714,0.20348,0.54235,0.42497,0.43918,0.14794,1.90029,2.2911,1.28087,1.04053,0.001208,0.001208,0.001208
