epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.161,2.44308,3.3327,3.66427,1.31133,0.21767,0.12991,0.06431,0.01892,0.24395,0.14079,0.08307,0.02395,2.66087,4.09254,3.74331,1.53563,0.00066129,0.00066129,0.00066129
2,135.857,2.30459,2.87636,2.29649,1.22332,0.26433,0.07553,0.05492,0.01044,0.19243,0.05498,0.02951,0.00517,3.19495,6.77723,3.27026,1.63882,0.00130166,0.00130166,0.00130166
3,202.327,2.32827,2.80477,1.93696,1.24269,0.36354,0.25559,0.20296,0.06068,0.29991,0.2435,0.19048,0.05381,2.59621,3.36884,2.23675,1.35971,0.00191564,0.00191564,0.00191564
4,267.676,2.22297,2.65858,1.72755,1.20103,0.41786,0.33474,0.27306,0.08965,0.36833,0.27674,0.22935,0.06736,2.428,3.08418,1.90196,1.29325,0.0018812,0.0018812,0.0018812
5,332.018,2.15815,2.60566,1.61507,1.17267,0.49905,0.33656,0.32592,0.13415,0.49618,0.36254,0.35833,0.13711,2.24774,2.68565,1.63194,1.24679,0.0018416,0.0018416,0.0018416
6,397.01,2.15428,2.60283,1.58052,1.17444,0.41755,0.33172,0.27986,0.12063,0.43076,0.32967,0.30137,0.11256,2.10367,2.70804,1.71846,1.16387,0.001802,0.001802,0.001802
7,460.269,2.10276,2.57553,1.55028,1.15819,0.53136,0.33837,0.33328,0.12303,0.50379,0.35397,0.35168,0.1261,2.28586,2.68731,1.72155,1.24829,0.0017624,0.0017624,0.0017624
8,523.251,2.05414,2.50963,1.4805,1.13524,0.5405,0.34381,0.3496,0.14047,0.53753,0.33353,0.36696,0.14181,2.18552,2.64998,1.56657,1.20493,0.0017228,0.0017228,0.0017228
9,586.264,2.05092,2.45929,1.46798,1.14119,0.4415,0.33387,0.28302,0.10734,0.45308,0.37391,0.33405,0.12541,2.23331,2.649,1.80521,1.25943,0.0016832,0.0016832,0.0016832
10,651.79,2.03131,2.43854,1.43063,1.12756,0.28346,0.17039,0.13962,0.05399,0.31017,0.19094,0.16812,0.05678,2.61335,3.09536,2.68376,1.47898,0.0016436,0.0016436,0.0016436
