epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.964,2.34523,3.01295,3.32825,1.21322,0.43082,0.22651,0.20112,0.07344,0.46858,0.24637,0.24,0.08033,2.27127,2.64734,2.92611,1.14836,0.00066087,0.00066087,0.00066087
2,146.12,2.17049,2.55961,2.07742,1.13958,0.3872,0.37037,0.28846,0.10411,0.3665,0.33156,0.28929,0.09929,2.27688,2.42802,1.85645,1.21458,0.00130125,0.00130125,0.00130125
3,204.387,2.15041,2.51904,1.71495,1.13179,0.46461,0.40059,0.3416,0.12645,0.48097,0.39703,0.36328,0.11956,2.1911,2.28524,1.86419,1.24083,0.00191523,0.00191523,0.00191523
4,262.345,2.1063,2.46063,1.57504,1.10758,0.48884,0.46578,0.39591,0.14139,0.47073,0.42696,0.38647,0.11758,2.0702,2.32629,2.11633,1.12025,0.0018812,0.0018812,0.0018812
5,323.56,2.06696,2.42373,1.50144,1.09593,0.46477,0.40292,0.3611,0.12805,0.44548,0.37304,0.34437,0.1019,2.17842,2.44173,1.73377,1.17512,0.0018416,0.0018416,0.0018416
6,381.058,2.03023,2.38204,1.46689,1.08401,0.53939,0.47081,0.44167,0.1613,0.48503,0.40948,0.3914,0.11501,2.09373,2.48359,1.42234,1.11054,0.001802,0.001802,0.001802
7,438.426,2.00977,2.35035,1.40695,1.06939,0.47582,0.43496,0.41345,0.17514,0.43383,0.35911,0.37486,0.14525,2.01184,2.20383,1.39026,1.07739,0.0017624,0.0017624,0.0017624
8,498.209,1.97523,2.30562,1.37368,1.05491,0.44629,0.46133,0.41395,0.15557,0.38464,0.39078,0.3594,0.12048,2.07263,2.1737,1.47542,1.10383,0.0017228,0.0017228,0.0017228
9,556.316,1.98667,2.30674,1.38674,1.06097,0.53935,0.43081,0.4178,0.16203,0.51714,0.39704,0.40915,0.14153,2.11073,2.39522,1.36018,1.11079,0.0016832,0.0016832,0.0016832
10,614.626,1.9419,2.30328,1.3612,1.05422,0.52847,0.49452,0.4536,0.19096,0.5076,0.44622,0.44786,0.15573,2.02251,2.38143,1.33387,1.08608,0.0016436,0.0016436,0.0016436
11,673.871,1.93088,2.29867,1.33181,1.04329,0.571,0.48474,0.50512,0.18383,0.51989,0.39467,0.42614,0.13432,2.0691,2.31465,1.34565,1.08038,0.001604,0.001604,0.001604
12,732.863,1.88746,2.23246,1.2928,1.0321,0.55622,0.46785,0.48344,0.19204,0.50402,0.3757,0.42177,0.14975,2.01865,2.25074,1.32053,1.07338,0.0015644,0.0015644,0.0015644
13,790.83,1.87096,2.23259,1.28627,1.03024,0.49969,0.46578,0.46004,0.16562,0.37843,0.37738,0.35429,0.10724,2.17148,2.34891,1.41948,1.10435,0.0015248,0.0015248,0.0015248
14,848.879,1.86661,2.2126,1.27438,1.02558,0.57263,0.49983,0.5073,0.21322,0.54546,0.408,0.45784,0.16792,1.90455,2.22099,1.2854,1.04292,0.0014852,0.0014852,0.0014852
15,908.321,1.86862,2.20846,1.26515,1.01882,0.50191,0.44009,0.42854,0.17528,0.47098,0.32356,0.36739,0.13293,2.0668,2.30347,1.34598,1.0872,0.0014456,0.0014456,0.0014456
16,966.292,1.85571,2.20769,1.24632,1.0221,0.5486,0.50519,0.49756,0.21212,0.4717,0.43437,0.44609,0.16859,1.92479,2.23563,1.30127,1.05031,0.001406,0.001406,0.001406
17,1024.96,1.83946,2.19885,1.24067,1.01366,0.5864,0.5083,0.53033,0.22232,0.55441,0.46993,0.51471,0.20408,1.90087,2.08773,1.21138,1.0561,0.0013664,0.0013664,0.0013664
18,1085.69,1.85301,2.23321,1.23645,1.01648,0.54249,0.42993,0.44219,0.17279,0.50445,0.37732,0.41362,0.13993,2.13244,2.4672,1.33281,1.0943,0.0013268,0.0013268,0.0013268
19,1144.27,1.83203,2.18351,1.23653,1.00192,0.55373,0.46193,0.48559,0.18759,0.48372,0.36919,0.41157,0.12749,2.09134,2.43829,1.28535,1.09763,0.0012872,0.0012872,0.0012872
20,1202.93,1.80601,2.16186,1.23034,1.00839,0.61047,0.54979,0.54799,0.22898,0.61576,0.48089,0.53053,0.19146,1.85778,2.13738,1.19555,1.04416,0.0012476,0.0012476,0.0012476
21,1262.87,1.80064,2.1677,1.20184,0.99967,0.54581,0.4877,0.49244,0.20816,0.55801,0.41422,0.47437,0.17683,1.9285,2.12912,1.23139,1.04972,0.001208,0.001208,0.001208
22,1321.98,1.80574,2.15555,1.21157,1.00281,0.59176,0.53257,0.53301,0.22738,0.58426,0.42726,0.47973,0.17031,1.90296,2.17771,1.2016,1.06155,0.0011684,0.0011684,0.0011684
23,1381.77,1.78886,2.16197,1.20145,1.00672,0.55789,0.50812,0.50776,0.22398,0.52662,0.41422,0.45882,0.16672,1.88895,2.2789,1.2369,1.04717,0.0011288,0.0011288,0.0011288
24,1440.43,1.75348,2.10368,1.16531,0.99046,0.55803,0.51102,0.509,0.22208,0.49994,0.43319,0.45981,0.15685,1.90494,2.25765,1.22753,1.0487,0.0010892,0.0010892,0.0010892
25,1501.4,1.78077,2.10116,1.18134,1.00248,0.62578,0.52148,0.54647,0.23755,0.58838,0.45689,0.50533,0.1835,1.85892,2.15851,1.17403,1.04682,0.0010496,0.0010496,0.0010496
26,1560.69,1.73507,2.09711,1.15121,0.98604,0.56976,0.5357,0.5143,0.21346,0.56179,0.44937,0.49497,0.1806,1.91284,2.14902,1.18977,1.06082,0.00101,0.00101,0.00101
