epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0204,2.37398,3.00993,3.27525,1.23012,0.69328,0.07299,0.19414,0.07005,0.73975,0.07788,0.21153,0.06348,2.17222,2.78332,3.31267,1.11174,0.000661064,0.000661064,0.000661064
2,148.512,2.13195,2.47932,2.00305,1.13471,0.38439,0.28082,0.22242,0.07689,0.37875,0.27886,0.22955,0.07445,2.23002,2.7359,2.31894,1.25404,0.00130144,0.00130144,0.00130144
3,209.409,2.17264,2.5538,1.72004,1.13889,0.21603,0.23924,0.12277,0.0253,0.11691,0.18444,0.0625,0.01236,2.7448,2.96428,2.23942,1.26282,0.00191542,0.00191542,0.00191542
4,269.998,2.12699,2.44555,1.56194,1.12281,0.43243,0.35372,0.31199,0.10993,0.42645,0.32632,0.29275,0.08445,2.18268,2.7782,1.95765,1.17089,0.0018812,0.0018812,0.0018812
5,329.861,2.06632,2.37359,1.49334,1.10398,0.38718,0.34393,0.26979,0.09719,0.36791,0.33806,0.26481,0.08251,2.18289,2.49396,1.81834,1.14667,0.0018416,0.0018416,0.0018416
6,389.185,2.0443,2.35734,1.45052,1.10134,0.4671,0.35225,0.30259,0.10116,0.44702,0.3239,0.30107,0.07786,2.2813,3.26403,1.68791,1.18687,0.001802,0.001802,0.001802
7,448.501,2.01056,2.38982,1.42265,1.08555,0.45012,0.39567,0.35267,0.13744,0.43193,0.38463,0.34075,0.11007,1.95945,2.49569,1.73542,1.10534,0.0017624,0.0017624,0.0017624
8,509.614,1.99219,2.31418,1.39371,1.06718,0.39375,0.40607,0.33563,0.12952,0.39648,0.34834,0.32627,0.10682,2.0695,2.55455,1.49021,1.10353,0.0017228,0.0017228,0.0017228
9,569.879,1.98825,2.30794,1.39826,1.07323,0.42975,0.36301,0.31471,0.10414,0.41888,0.36076,0.32784,0.09761,2.19541,2.47088,1.72575,1.16946,0.0016832,0.0016832,0.0016832
10,628.948,1.92648,2.29997,1.33471,1.04854,0.43305,0.35501,0.333,0.11428,0.40881,0.32485,0.31704,0.09647,2.20404,2.53198,1.54283,1.12473,0.0016436,0.0016436,0.0016436
