epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8741,2.27454,2.93327,3.12004,1.19618,0.5312,0.07442,0.11764,0.0467,0.60846,0.08525,0.14921,0.04432,2.09689,2.55893,3.61365,1.13332,0.000660714,0.000660714,0.000660714
2,151.789,2.0829,2.47067,1.93737,1.11017,0.30287,0.2959,0.18359,0.05637,0.31072,0.30356,0.19932,0.05217,2.41719,2.98101,2.48128,1.35452,0.0013011,0.0013011,0.0013011
3,212.406,2.10172,2.42437,1.65073,1.1159,0.37831,0.32206,0.26681,0.08776,0.35553,0.30266,0.25403,0.06386,2.46789,3.02136,1.73255,1.23349,0.00191508,0.00191508,0.00191508
4,273.665,2.09013,2.37243,1.53586,1.09758,0.3685,0.32972,0.25585,0.0932,0.31682,0.28146,0.21364,0.06563,2.25534,2.85852,2.46501,1.20535,0.0018812,0.0018812,0.0018812
5,336.74,2.04994,2.38064,1.45925,1.09889,0.45791,0.4153,0.35564,0.14862,0.46127,0.39468,0.36195,0.13153,2.03149,2.50119,1.60416,1.12288,0.0018416,0.0018416,0.0018416
6,397.643,2.0262,2.31542,1.42065,1.08057,0.44349,0.39062,0.34034,0.13542,0.41661,0.35092,0.31485,0.10169,2.11974,2.88365,1.63299,1.1541,0.001802,0.001802,0.001802
7,458.348,1.96255,2.29209,1.38582,1.07022,0.49485,0.38069,0.37499,0.15755,0.47607,0.34879,0.36117,0.13008,2.10499,2.39565,1.51695,1.14549,0.0017624,0.0017624,0.0017624
8,519.426,1.9334,2.25519,1.34499,1.05225,0.50505,0.42115,0.39878,0.17001,0.49242,0.38791,0.38316,0.1328,1.94055,2.56097,1.57366,1.08276,0.0017228,0.0017228,0.0017228
9,580.461,1.91311,2.24331,1.32119,1.04314,0.43241,0.38746,0.3633,0.13638,0.41838,0.34055,0.34542,0.10575,2.23069,2.50178,1.53992,1.13649,0.0016832,0.0016832,0.0016832
10,641.094,1.90707,2.21087,1.29455,1.04234,0.48045,0.41753,0.38562,0.1647,0.49163,0.43888,0.42195,0.15568,2.03815,2.37943,1.48233,1.12703,0.0016436,0.0016436,0.0016436
11,701.277,1.90752,2.23695,1.28406,1.03314,0.55781,0.45422,0.45444,0.18246,0.53022,0.41633,0.43032,0.14422,1.96099,2.22085,1.45083,1.08438,0.001604,0.001604,0.001604
12,761.927,1.89174,2.21682,1.2836,1.0296,0.4715,0.42858,0.3982,0.1564,0.44696,0.38022,0.37725,0.12128,2.12523,2.45857,1.47363,1.10351,0.0015644,0.0015644,0.0015644
13,823.113,1.85649,2.18449,1.26126,1.02175,0.50139,0.43952,0.42518,0.17948,0.47777,0.40565,0.41294,0.14713,1.92177,2.27685,1.41347,1.06523,0.0015248,0.0015248,0.0015248
14,883.895,1.87307,2.18437,1.25669,1.02948,0.48733,0.39876,0.38321,0.14312,0.43089,0.37293,0.35935,0.10516,2.23577,2.56356,1.64125,1.13982,0.0014852,0.0014852,0.0014852
15,944.931,1.83211,2.17516,1.23183,1.01884,0.55403,0.41678,0.43295,0.18297,0.53617,0.38746,0.41301,0.13795,2.00331,2.47893,1.42341,1.08058,0.0014456,0.0014456,0.0014456
16,1006.26,1.81675,2.16775,1.2309,1.01268,0.505,0.41498,0.38773,0.16129,0.47055,0.38885,0.37349,0.12539,2.03971,2.47539,1.43955,1.11698,0.001406,0.001406,0.001406
17,1068.07,1.83018,2.17604,1.23192,1.0104,0.52161,0.45887,0.45066,0.1927,0.49391,0.41858,0.43767,0.15531,1.92711,2.22635,1.41538,1.06641,0.0013664,0.0013664,0.0013664
18,1129.23,1.80703,2.16201,1.21416,1.0079,0.54344,0.4479,0.43885,0.18457,0.5377,0.39919,0.41842,0.1524,1.98734,2.39642,1.47894,1.09158,0.0013268,0.0013268,0.0013268
19,1190.25,1.7943,2.11151,1.19269,1.00771,0.53307,0.46036,0.44872,0.18335,0.48733,0.41858,0.42353,0.14024,1.95349,2.26604,1.43863,1.07051,0.0012872,0.0012872,0.0012872
20,1252.44,1.78404,2.13218,1.18712,1.00187,0.52155,0.40235,0.39808,0.14828,0.49215,0.3419,0.35252,0.10676,2.22678,2.47987,1.51905,1.1543,0.0012476,0.0012476,0.0012476
21,1312.52,1.78471,2.10786,1.16878,0.99828,0.54034,0.44745,0.44586,0.18547,0.5097,0.39468,0.41859,0.14895,1.99974,2.28207,1.38316,1.08856,0.001208,0.001208,0.001208
22,1372.89,1.75672,2.11064,1.16716,0.99744,0.54581,0.419,0.4401,0.19615,0.52307,0.38972,0.42182,0.15777,1.92228,2.20835,1.42672,1.05861,0.0011684,0.0011684,0.0011684
23,1433.52,1.77359,2.12834,1.16504,0.99554,0.51657,0.42703,0.41267,0.16292,0.48644,0.35724,0.37534,0.1193,2.11408,2.61355,1.43155,1.10706,0.0011288,0.0011288,0.0011288
24,1494.69,1.73171,2.06154,1.15231,0.98938,0.55832,0.47,0.45845,0.1932,0.55451,0.45106,0.46412,0.17044,1.93552,2.27606,1.38301,1.07526,0.0010892,0.0010892,0.0010892
25,1555.25,1.73227,2.08672,1.13278,0.99033,0.55212,0.44655,0.44208,0.18894,0.54658,0.42219,0.44822,0.15523,1.95302,2.41996,1.38027,1.07772,0.0010496,0.0010496,0.0010496
26,1616.44,1.72289,2.0564,1.13745,0.99101,0.55746,0.45737,0.44461,0.18797,0.52384,0.39423,0.41009,0.13722,1.97956,2.41527,1.40869,1.06688,0.00101,0.00101,0.00101
27,1677.72,1.70764,2.05057,1.11916,0.97825,0.5529,0.4461,0.45121,0.18797,0.54202,0.3631,0.41704,0.14309,2.06522,2.42113,1.35536,1.08685,0.0009704,0.0009704,0.0009704
28,1738.71,1.71565,2.04916,1.10204,0.97938,0.5762,0.4461,0.46352,0.2078,0.56005,0.40711,0.44999,0.16268,1.88747,2.21794,1.34818,1.05222,0.0009308,0.0009308,0.0009308
29,1799.3,1.69974,2.04083,1.08833,0.9762,0.57191,0.4452,0.46286,0.18735,0.52666,0.3834,0.42278,0.14053,2.03634,2.38629,1.39902,1.08582,0.0008912,0.0008912,0.0008912
30,1860.07,1.6815,2.02367,1.09849,0.96947,0.56725,0.41813,0.44106,0.19785,0.58018,0.37889,0.43964,0.16513,1.92878,2.28636,1.38715,1.0744,0.0008516,0.0008516,0.0008516
31,1921.53,1.69378,2.04748,1.08463,0.97904,0.57462,0.46053,0.46494,0.21267,0.5432,0.40776,0.44071,0.16673,1.85995,2.32656,1.28499,1.05576,0.000812,0.000812,0.000812
32,1982.76,1.66722,2.00924,1.07379,0.96351,0.58711,0.47398,0.48244,0.21218,0.57041,0.44249,0.48525,0.17064,1.89207,2.21449,1.29999,1.05554,0.0007724,0.0007724,0.0007724
33,2043.77,1.64947,1.98985,1.06129,0.96499,0.58044,0.47,0.47657,0.21002,0.5554,0.41317,0.451,0.15817,1.92596,2.3371,1.3344,1.06298,0.0007328,0.0007328,0.0007328
34,2104.37,1.64445,1.98675,1.05448,0.96408,0.55925,0.45061,0.45174,0.19653,0.52684,0.41543,0.43106,0.15508,1.99338,2.44573,1.37616,1.10621,0.0006932,0.0006932,0.0006932
35,2166.41,1.64189,1.96569,1.06738,0.95923,0.58799,0.48309,0.50462,0.22716,0.57752,0.41046,0.47147,0.17405,1.83762,2.12212,1.29533,1.03898,0.0006536,0.0006536,0.0006536
36,2227.11,1.62703,1.96327,1.02744,0.96047,0.57608,0.47382,0.48022,0.21555,0.57579,0.43572,0.47359,0.17683,1.87764,2.43831,1.29486,1.06149,0.000614,0.000614,0.000614
37,2287.4,1.61588,1.95682,1.0302,0.95638,0.5571,0.46189,0.45689,0.19629,0.53226,0.41182,0.43498,0.15096,2.00073,2.44054,1.34715,1.10125,0.0005744,0.0005744,0.0005744
38,2347.63,1.6104,1.94314,1.03112,0.9523,0.56645,0.44966,0.45657,0.2093,0.55229,0.43708,0.47199,0.17916,1.85419,2.26409,1.30952,1.05692,0.0005348,0.0005348,0.0005348
39,2408.53,1.59107,1.91248,1.00775,0.95252,0.56935,0.46143,0.462,0.20946,0.56504,0.43184,0.46735,0.17832,1.90326,2.37944,1.33992,1.06959,0.0004952,0.0004952,0.0004952
40,2468.16,1.58809,1.91277,1.00573,0.95087,0.58814,0.48895,0.48803,0.21454,0.55063,0.43257,0.45265,0.1656,1.9124,2.42728,1.3315,1.07664,0.0004556,0.0004556,0.0004556
41,2526.36,1.63678,1.98391,1.05154,0.97165,0.61351,0.47256,0.48962,0.22449,0.60121,0.4452,0.49039,0.19191,1.83963,2.19307,1.29165,1.04611,0.000416,0.000416,0.000416
42,2581.03,1.61525,1.95435,1.02456,0.97572,0.6005,0.46647,0.47584,0.21786,0.5926,0.45783,0.49128,0.19198,1.8815,2.23887,1.313,1.06321,0.0003764,0.0003764,0.0003764
43,2633.9,1.58694,1.91414,0.9929,0.96314,0.58446,0.45467,0.46491,0.21048,0.55619,0.41588,0.4409,0.16147,1.94808,2.45687,1.36647,1.0842,0.0003368,0.0003368,0.0003368
44,2687.96,1.5579,1.8903,0.98613,0.96197,0.59545,0.49707,0.49474,0.23525,0.60545,0.5088,0.53169,0.22016,1.79291,2.03342,1.28905,1.05538,0.0002972,0.0002972,0.0002972
45,2742.24,1.53262,1.82277,0.9793,0.95152,0.57504,0.4673,0.46094,0.22013,0.57713,0.46787,0.48292,0.19939,1.84312,2.18704,1.32908,1.07682,0.0002576,0.0002576,0.0002576
46,2796.41,1.52777,1.84452,0.97676,0.95099,0.6268,0.49481,0.51266,0.2417,0.6105,0.47542,0.52532,0.21378,1.82778,2.08836,1.25655,1.05822,0.000218,0.000218,0.000218
47,2850.63,1.50747,1.79891,0.95376,0.94114,0.60625,0.4894,0.50426,0.24019,0.60241,0.48038,0.51984,0.21878,1.81273,2.11249,1.26559,1.06322,0.0001784,0.0001784,0.0001784
