epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5295,2.38544,3.1016,3.33851,1.25533,0.60632,0.14178,0.21968,0.08878,0.698,0.16321,0.26782,0.10507,2.04179,2.36306,3.27521,1.0564,0.000660767,0.000660767,0.000660767
2,150.264,2.12997,2.59623,2.04937,1.13562,0.29142,0.31585,0.1946,0.07019,0.28323,0.30601,0.1958,0.05609,2.33805,3.33363,5.86427,1.26922,0.00130115,0.00130115,0.00130115
3,212.632,2.1229,2.50376,1.73402,1.14067,0.44487,0.35133,0.29543,0.08094,0.4487,0.35683,0.29768,0.08342,2.47239,2.5125,1.98093,1.23672,0.00191513,0.00191513,0.00191513
4,277.665,2.12361,2.49167,1.60046,1.13571,0.53218,0.45355,0.40615,0.14589,0.5304,0.44136,0.41973,0.13265,2.09854,2.69579,1.64302,1.13437,0.0018812,0.0018812,0.0018812
5,343.412,2.09073,2.45901,1.55136,1.11391,0.3929,0.39428,0.31088,0.09597,0.26214,0.34847,0.20225,0.05791,2.25158,2.55298,1.81643,1.0661,0.0018416,0.0018416,0.0018416
6,406.34,2.05282,2.4833,1.5031,1.09972,0.46464,0.37957,0.31905,0.09637,0.37495,0.30853,0.24554,0.06617,2.35573,2.94324,1.75483,1.1715,0.001802,0.001802,0.001802
7,467.552,2.04331,2.39588,1.48038,1.11317,0.44141,0.39681,0.37787,0.13633,0.30109,0.36066,0.28418,0.08757,2.15381,2.44331,1.67854,1.11706,0.0017624,0.0017624,0.0017624
8,528.75,2.00964,2.38359,1.44056,1.08798,0.52649,0.46083,0.43738,0.15868,0.46162,0.42161,0.37106,0.11642,2.02544,2.39172,1.4969,1.09265,0.0017228,0.0017228,0.0017228
9,594.351,1.97899,2.33613,1.40814,1.07657,0.56761,0.46574,0.47844,0.17874,0.47785,0.40479,0.39581,0.12421,1.97928,2.3231,1.4877,1.05351,0.0016832,0.0016832,0.0016832
10,655.415,1.94292,2.31246,1.36297,1.07272,0.46445,0.45103,0.42074,0.1516,0.31535,0.37444,0.30434,0.09779,2.08402,2.36894,1.50203,1.07352,0.0016436,0.0016436,0.0016436
11,716.721,1.95964,2.33613,1.37318,1.06673,0.49032,0.43127,0.40846,0.14381,0.44935,0.33993,0.33811,0.09831,2.22548,2.66603,1.55497,1.10542,0.001604,0.001604,0.001604
12,779.26,1.9109,2.2965,1.33247,1.05867,0.54379,0.48129,0.49766,0.19927,0.47234,0.42077,0.42678,0.15714,1.87074,2.19502,1.35339,1.03767,0.0015644,0.0015644,0.0015644
13,844.181,1.88575,2.24764,1.3225,1.0547,0.57457,0.47541,0.4587,0.17321,0.50835,0.41992,0.40192,0.13825,1.98291,2.57401,1.3665,1.0753,0.0015248,0.0015248,0.0015248
14,905.375,1.8989,2.26384,1.30907,1.0487,0.59555,0.46742,0.49199,0.18201,0.5066,0.41992,0.42115,0.13789,2.09519,2.37693,1.35987,1.09388,0.0014852,0.0014852,0.0014852
15,968.662,1.88133,2.29418,1.30734,1.03819,0.55288,0.44515,0.45097,0.17176,0.47802,0.3678,0.36736,0.12669,2.08423,2.24973,1.44919,1.07623,0.0014456,0.0014456,0.0014456
16,1030.95,1.84091,2.21946,1.2707,1.02557,0.52403,0.50904,0.46731,0.19192,0.475,0.43013,0.42517,0.14363,1.90562,2.28223,1.34077,1.0273,0.001406,0.001406,0.001406
17,1092.94,1.84301,2.23264,1.27427,1.03098,0.57291,0.48256,0.46632,0.17509,0.51658,0.41236,0.41242,0.1289,2.02166,2.53504,1.36492,1.05609,0.0013664,0.0013664,0.0013664
18,1154.52,1.82659,2.19793,1.24642,1.02736,0.55978,0.47919,0.48796,0.21155,0.54303,0.41859,0.45622,0.17237,1.87221,2.1942,1.32197,1.0309,0.0013268,0.0013268,0.0013268
19,1216.73,1.80938,2.20064,1.24259,1.01777,0.58473,0.46322,0.45359,0.16785,0.53237,0.4369,0.44673,0.14747,2.10933,2.3702,1.32742,1.09495,0.0012872,0.0012872,0.0012872
20,1279.53,1.8359,2.18021,1.23616,1.02828,0.56448,0.45776,0.47235,0.16446,0.47233,0.35687,0.38655,0.12343,2.12937,2.2433,1.35006,1.08359,0.0012476,0.0012476,0.0012476
21,1340.69,1.79381,2.16592,1.2151,1.01735,0.56685,0.49673,0.48893,0.20075,0.53204,0.45607,0.46614,0.16638,1.93647,2.22693,1.30192,1.03573,0.001208,0.001208,0.001208
22,1402.03,1.77712,2.14652,1.20881,1.00963,0.57696,0.46322,0.46058,0.15971,0.48681,0.35687,0.36401,0.1066,2.1445,2.62681,1.42834,1.09685,0.0011684,0.0011684,0.0011684
23,1464.01,1.78701,2.13425,1.19944,1.00688,0.54381,0.46448,0.46485,0.18706,0.47065,0.40731,0.4125,0.14292,1.95529,2.28827,1.37487,1.04075,0.0011288,0.0011288,0.0011288
24,1526.68,1.7566,2.16126,1.19552,1.00426,0.55378,0.48718,0.461,0.19267,0.52357,0.47289,0.47138,0.17333,1.91122,2.21397,1.32245,1.05396,0.0010892,0.0010892,0.0010892
25,1587.63,1.76317,2.16889,1.17495,1.00685,0.5957,0.47195,0.49886,0.21385,0.56371,0.44935,0.49248,0.19134,1.86398,2.17448,1.35105,1.03117,0.0010496,0.0010496,0.0010496
26,1648.07,1.73366,2.124,1.16635,1.00164,0.60911,0.50043,0.51719,0.221,0.51443,0.4342,0.45683,0.16005,1.90725,2.24946,1.27086,1.02549,0.00101,0.00101,0.00101
