epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1558,2.29418,2.96425,3.07275,1.20499,0.45916,0.08681,0.123,0.04072,0.51609,0.09757,0.17238,0.04553,2.31783,2.97007,3.31751,1.17288,0.000661064,0.000661064,0.000661064
2,152.869,2.09924,2.48483,1.94212,1.12477,0.39883,0.38948,0.30806,0.10502,0.40159,0.33708,0.30551,0.09428,2.24812,2.55219,1.81873,1.18122,0.00130144,0.00130144,0.00130144
3,212.751,2.09628,2.44855,1.61498,1.12099,0.44362,0.41292,0.36514,0.13075,0.37533,0.40607,0.33131,0.09997,2.05731,2.48999,1.61738,1.09635,0.00191542,0.00191542,0.00191542
4,273.293,2.06981,2.38308,1.4994,1.11038,0.38151,0.35812,0.30281,0.10253,0.34318,0.36057,0.2846,0.08586,2.23399,2.53849,1.63335,1.13199,0.0018812,0.0018812,0.0018812
5,334.23,2.01687,2.33222,1.42938,1.08737,0.41192,0.34269,0.26116,0.0899,0.44982,0.3684,0.32541,0.10507,2.268,2.5403,1.7013,1.19737,0.0018416,0.0018416,0.0018416
6,393.418,2.01632,2.33025,1.41467,1.09151,0.46008,0.33953,0.31091,0.10197,0.44278,0.33757,0.32727,0.09737,2.2559,2.7129,1.66773,1.16186,0.001802,0.001802,0.001802
7,453.971,1.9664,2.30794,1.35243,1.061,0.42999,0.34638,0.29126,0.10328,0.41412,0.3317,0.29094,0.08198,2.2197,2.75978,1.59625,1.15247,0.0017624,0.0017624,0.0017624
8,515.73,1.95443,2.31671,1.34177,1.06133,0.47337,0.39873,0.34438,0.11795,0.46719,0.39726,0.34595,0.0955,2.09754,2.75641,1.54897,1.11335,0.0017228,0.0017228,0.0017228
9,575.026,1.90591,2.23715,1.29728,1.04796,0.49289,0.42221,0.37819,0.15082,0.50772,0.41528,0.40538,0.1391,2.00957,2.41872,1.41348,1.08454,0.0016832,0.0016832,0.0016832
10,634.47,1.88287,2.21775,1.28727,1.03853,0.47949,0.41634,0.38101,0.1629,0.48339,0.40656,0.38635,0.13495,1.88503,2.44088,1.47013,1.03652,0.0016436,0.0016436,0.0016436
11,695.01,1.89168,2.23811,1.28288,1.03931,0.41919,0.36937,0.32683,0.12608,0.4349,0.34979,0.33036,0.10796,2.0543,2.57822,1.57924,1.0845,0.001604,0.001604,0.001604
12,755.995,1.88011,2.18452,1.26797,1.03457,0.51376,0.44667,0.42403,0.17022,0.48716,0.40411,0.40879,0.13532,1.99689,2.41263,1.38293,1.05715,0.0015644,0.0015644,0.0015644
13,815.847,1.87239,2.21241,1.27258,1.03082,0.48171,0.43346,0.38326,0.15558,0.47791,0.39971,0.38367,0.12572,1.95652,2.38682,1.37495,1.05235,0.0015248,0.0015248,0.0015248
14,874.496,1.86486,2.17841,1.24982,1.03815,0.50237,0.42475,0.41258,0.1636,0.47702,0.38112,0.39346,0.12929,2.02535,2.41612,1.38508,1.07476,0.0014852,0.0014852,0.0014852
