epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8787,2.40694,3.24737,3.39188,1.30973,0.32373,0.22472,0.14487,0.04989,0.3511,0.24077,0.16711,0.0448,2.62955,3.34957,2.73301,1.28435,0.000662745,0.000662745,0.000662745
2,192.156,2.25836,2.84991,2.00657,1.22785,0.40782,0.29374,0.24225,0.0883,0.43961,0.30444,0.25926,0.08161,2.49242,3.27082,1.95395,1.23547,0.00130309,0.00130309,0.00130309
3,281.113,2.2816,2.83895,1.72934,1.23877,0.30586,0.23649,0.16588,0.05461,0.30237,0.22258,0.17628,0.04564,2.68571,3.15174,2.40422,1.26342,0.00191703,0.00191703,0.00191703
4,370.243,2.24005,2.79757,1.65106,1.229,0.35667,0.27448,0.21826,0.06809,0.32747,0.25201,0.20037,0.05458,2.61602,3.01468,2.15661,1.21889,0.0018812,0.0018812,0.0018812
5,461.884,2.16271,2.70943,1.52007,1.18979,0.21985,0.19797,0.12389,0.03081,0.15347,0.1557,0.08462,0.01784,3.09704,3.42832,2.31531,1.29484,0.0018416,0.0018416,0.0018416
6,550.478,2.17538,2.73643,1.50437,1.19162,0.25908,0.22258,0.17148,0.05868,0.21513,0.20225,0.15219,0.04314,2.73427,3.0269,2.33905,1.19565,0.001802,0.001802,0.001802
7,639.615,2.14256,2.67965,1.46112,1.17922,0.24961,0.24612,0.16075,0.0481,0.21349,0.19583,0.13341,0.03413,2.71499,3.16272,2.27603,1.21193,0.0017624,0.0017624,0.0017624
8,730.684,2.11607,2.6694,1.4387,1.16378,0.33605,0.22204,0.17185,0.05153,0.30375,0.20439,0.1656,0.04331,2.96693,3.18984,2.33953,1.26898,0.0017228,0.0017228,0.0017228
9,820.666,2.10546,2.66145,1.41681,1.15612,0.32743,0.24345,0.20384,0.06213,0.24904,0.22204,0.16168,0.04105,2.74613,3.23166,2.07328,1.23259,0.0016832,0.0016832,0.0016832
10,909.475,2.06704,2.65299,1.37381,1.14807,0.33828,0.30123,0.22533,0.06973,0.30205,0.27769,0.20152,0.05437,2.65587,3.0031,2.21604,1.20165,0.0016436,0.0016436,0.0016436
11,1002.55,2.05584,2.62312,1.37365,1.14463,0.39483,0.30819,0.26696,0.09182,0.36093,0.27801,0.25372,0.07456,2.5676,2.94923,1.89795,1.18937,0.001604,0.001604,0.001604
12,1094.3,2.06045,2.61958,1.36445,1.14466,0.30332,0.28143,0.2083,0.06559,0.26341,0.25789,0.18684,0.05158,2.61624,2.97841,2.07202,1.15538,0.0015644,0.0015644,0.0015644
13,1185.86,2.04962,2.61356,1.36202,1.14287,0.35161,0.24773,0.22684,0.07299,0.31597,0.23381,0.21537,0.05599,2.70028,3.07717,2.09741,1.22136,0.0015248,0.0015248,0.0015248
14,1277.52,2.02452,2.59034,1.32249,1.12945,0.37138,0.24933,0.22721,0.07156,0.30809,0.24987,0.20936,0.05917,2.70787,3.00872,2.04197,1.22212,0.0014852,0.0014852,0.0014852
15,1368.83,1.99616,2.54646,1.29428,1.12589,0.40918,0.26485,0.2533,0.08854,0.36604,0.21883,0.21741,0.06118,2.58339,3.24455,1.99468,1.194,0.0014456,0.0014456,0.0014456
16,1460.84,1.98423,2.53498,1.29066,1.11949,0.38062,0.30658,0.26795,0.09716,0.34182,0.28411,0.2516,0.07796,2.50826,2.85774,1.84022,1.15882,0.001406,0.001406,0.001406
17,1552.48,2.00212,2.56453,1.29682,1.1212,0.38469,0.28732,0.2622,0.08436,0.38842,0.23488,0.23675,0.06352,2.65449,3.00723,1.91999,1.20983,0.0013664,0.0013664,0.0013664
18,1642.78,1.96674,2.5585,1.27198,1.10728,0.41455,0.28732,0.25202,0.08532,0.3538,0.2595,0.22757,0.06366,2.57454,2.98831,1.997,1.17061,0.0013268,0.0013268,0.0013268
19,1734.11,1.95129,2.53165,1.2317,1.09492,0.47523,0.33547,0.31669,0.12608,0.44928,0.31086,0.3132,0.10458,2.34295,2.7997,1.75016,1.12976,0.0012872,0.0012872,0.0012872
20,1825.35,1.94178,2.49431,1.22485,1.10397,0.34957,0.28304,0.24774,0.08052,0.31568,0.25415,0.22808,0.06423,2.67499,2.98145,2.06286,1.20545,0.0012476,0.0012476,0.0012476
21,1914.3,1.91609,2.48865,1.20903,1.09767,0.32024,0.26913,0.22702,0.07857,0.30499,0.21669,0.20202,0.05953,2.65788,2.95148,2.05753,1.1952,0.001208,0.001208,0.001208
22,2004.7,1.92415,2.50798,1.21394,1.09187,0.33289,0.25604,0.21055,0.0644,0.30776,0.21883,0.18906,0.04823,2.74032,3.0295,2.11155,1.21861,0.0011684,0.0011684,0.0011684
23,2094.38,1.89492,2.44893,1.18384,1.08556,0.44551,0.31461,0.30025,0.10701,0.41336,0.23563,0.25826,0.07606,2.54086,3.13824,1.82341,1.18191,0.0011288,0.0011288,0.0011288
24,2183.36,1.90627,2.48738,1.18751,1.08543,0.468,0.34564,0.32759,0.12506,0.48165,0.31568,0.32624,0.10636,2.43681,2.76859,1.74294,1.13674,0.0010892,0.0010892,0.0010892
25,2272.86,1.89771,2.48104,1.20244,1.08794,0.37402,0.29802,0.27292,0.08372,0.34794,0.25094,0.24385,0.06329,2.60804,3.05222,1.89516,1.18247,0.0010496,0.0010496,0.0010496
26,2362.75,1.89867,2.47608,1.18551,1.08244,0.47216,0.34125,0.32659,0.11951,0.45016,0.28197,0.29747,0.08941,2.45227,2.874,1.68604,1.14986,0.00101,0.00101,0.00101
27,2453.27,1.88428,2.43308,1.16486,1.08289,0.43816,0.3167,0.30004,0.10942,0.4043,0.28571,0.28404,0.08707,2.46359,2.93958,1.76892,1.17005,0.0009704,0.0009704,0.0009704
28,2544.9,1.89679,2.48789,1.1792,1.08203,0.34252,0.25308,0.22008,0.06908,0.27364,0.22097,0.18697,0.05166,2.71237,3.02569,2.10841,1.20341,0.0009308,0.0009308,0.0009308
29,2634.96,1.83046,2.38149,1.1344,1.0684,0.45397,0.31568,0.30805,0.11869,0.41117,0.28507,0.28599,0.09167,2.40332,2.83683,1.74862,1.1399,0.0008912,0.0008912,0.0008912
30,2726.81,1.85183,2.451,1.14609,1.07494,0.47734,0.31889,0.31251,0.11159,0.47265,0.28518,0.30214,0.08856,2.46114,2.86743,1.72164,1.13832,0.0008516,0.0008516,0.0008516
