epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9105,2.52354,3.33797,3.80443,1.34003,0.39716,0.29673,0.24675,0.08747,0.40059,0.2876,0.24217,0.07413,2.37155,2.88318,2.20099,1.23342,0.000662626,0.000662626,0.000662626
2,195.159,2.34901,2.93208,2.15279,1.22947,0.40402,0.31068,0.24832,0.08442,0.38602,0.28177,0.23088,0.06809,2.43681,2.87604,1.77756,1.31465,0.00130297,0.00130297,0.00130297
3,287.393,2.37629,2.93143,1.81137,1.2242,0.33669,0.26858,0.20206,0.06846,0.3138,0.23941,0.1963,0.05704,2.51015,2.96414,1.94669,1.30795,0.00191692,0.00191692,0.00191692
4,376.682,2.32273,2.8767,1.69354,1.20459,0.32237,0.33553,0.23967,0.0961,0.33095,0.31169,0.24634,0.09451,2.26098,2.66949,1.77503,1.2319,0.0018812,0.0018812,0.0018812
5,473.205,2.28494,2.79643,1.61543,1.19985,0.45081,0.33857,0.29501,0.111,0.43295,0.33401,0.30366,0.09763,2.30827,2.82114,1.62906,1.21786,0.0018416,0.0018416,0.0018416
6,568.947,2.27244,2.8026,1.62812,1.19142,0.48143,0.31575,0.31653,0.11975,0.40611,0.24753,0.25231,0.0695,2.30634,3.26459,1.6571,1.22448,0.001802,0.001802,0.001802
7,667.549,2.28333,2.83592,1.57621,1.2005,0.47257,0.36774,0.3191,0.11976,0.46707,0.31321,0.30079,0.09754,2.30085,2.71087,1.55862,1.21719,0.0017624,0.0017624,0.0017624
8,761.568,2.27095,2.83775,1.6069,1.16984,0.54028,0.35261,0.34227,0.13521,0.53122,0.34669,0.34662,0.11939,2.27576,2.69215,1.49955,1.23853,0.0017228,0.0017228,0.0017228
9,855.424,2.21319,2.75911,1.50451,1.17517,0.44107,0.29445,0.24553,0.09018,0.43276,0.28506,0.25219,0.08172,2.44683,2.94975,1.77379,1.28404,0.0016832,0.0016832,0.0016832
10,947.344,2.18477,2.73591,1.47069,1.15488,0.5133,0.35405,0.3348,0.12538,0.47506,0.32767,0.31674,0.10329,2.26342,2.61318,1.5407,1.20541,0.0016436,0.0016436,0.0016436
11,1041.48,2.16977,2.72177,1.45157,1.15546,0.41438,0.32691,0.28395,0.10706,0.4009,0.30104,0.27341,0.09132,2.30162,2.69945,1.76791,1.20337,0.001604,0.001604,0.001604
12,1135.65,2.14018,2.72015,1.43795,1.13201,0.48341,0.35075,0.31957,0.11729,0.47534,0.32894,0.32166,0.10353,2.33982,2.72152,1.5457,1.24252,0.0015644,0.0015644,0.0015644
13,1226.59,2.15373,2.7225,1.42891,1.13977,0.5449,0.35134,0.36014,0.14877,0.55438,0.33173,0.36025,0.12767,2.15707,2.68836,1.48825,1.17211,0.0015248,0.0015248,0.0015248
14,1316.84,2.11967,2.70927,1.40064,1.12855,0.51528,0.33401,0.31383,0.11559,0.46758,0.28866,0.28031,0.08716,2.35788,2.88516,1.59161,1.20773,0.0014852,0.0014852,0.0014852
