epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8384,2.68817,3.46769,3.75269,1.43229,0.51585,0.09092,0.1229,0.04154,0.63718,0.11738,0.21465,0.07643,2.22684,2.39187,3.25414,1.16833,0.000660767,0.000660767,0.000660767
2,135.158,2.38235,2.82798,2.32217,1.22477,0.29155,0.21606,0.18064,0.06201,0.31137,0.21564,0.19062,0.06288,2.40704,2.53246,2.79827,1.24366,0.00130115,0.00130115,0.00130115
3,198.597,2.42577,2.86779,2.08568,1.23871,0.37182,0.33081,0.25687,0.08219,0.33123,0.32409,0.2271,0.06368,2.34261,2.82291,1.9389,1.15021,0.00191513,0.00191513,0.00191513
4,264.681,2.34122,2.81373,1.89893,1.22008,0.39529,0.31232,0.27061,0.0731,0.37295,0.29466,0.24192,0.06275,2.47259,2.78836,2.22905,1.21391,0.0018812,0.0018812,0.0018812
5,328.732,2.35158,2.77853,1.87139,1.21878,0.40276,0.32745,0.31052,0.11419,0.3697,0.32661,0.29354,0.10257,2.25041,2.52576,1.73075,1.16067,0.0018416,0.0018416,0.0018416
6,392.862,2.28774,2.72413,1.78047,1.17807,0.37558,0.33297,0.26844,0.08907,0.29296,0.29718,0.20185,0.05826,2.14154,2.51051,1.91535,1.0913,0.001802,0.001802,0.001802
7,457.966,2.26586,2.67077,1.72228,1.18222,0.4969,0.38209,0.35625,0.12577,0.45382,0.35645,0.32981,0.10712,2.15391,2.44834,1.58516,1.12629,0.0017624,0.0017624,0.0017624
8,524.686,2.20694,2.64956,1.65445,1.15916,0.49858,0.37243,0.37388,0.13227,0.42721,0.35057,0.32761,0.10705,2.08753,2.46945,1.61448,1.10408,0.0017228,0.0017228,0.0017228
9,588.573,2.15881,2.59823,1.6132,1.14822,0.52461,0.43047,0.42441,0.15606,0.51229,0.37265,0.38307,0.12384,2.07643,2.37809,1.52198,1.08641,0.0016832,0.0016832,0.0016832
10,653.573,2.16564,2.62499,1.62606,1.14677,0.50262,0.40815,0.40711,0.15583,0.47065,0.3615,0.35865,0.11726,2.0318,2.37661,1.52889,1.07962,0.0016436,0.0016436,0.0016436
11,716.79,2.14865,2.63389,1.57403,1.13689,0.51959,0.36948,0.37695,0.11823,0.43359,0.31988,0.30305,0.08556,2.29223,2.54313,1.59472,1.1425,0.001604,0.001604,0.001604
12,782.882,2.13297,2.56489,1.56736,1.1427,0.511,0.43169,0.4174,0.14385,0.45561,0.39723,0.37693,0.11596,2.14807,2.41032,1.52241,1.0987,0.0015644,0.0015644,0.0015644
13,845.624,2.11561,2.5619,1.52716,1.12445,0.56778,0.43674,0.4395,0.16735,0.50933,0.38798,0.38992,0.12666,2.03012,2.37765,1.45219,1.07331,0.0015248,0.0015248,0.0015248
14,908.834,2.09378,2.53122,1.52067,1.11846,0.48532,0.34088,0.34335,0.11744,0.37972,0.30685,0.27696,0.08433,2.22572,2.60077,1.75896,1.11032,0.0014852,0.0014852,0.0014852
15,972.426,2.08693,2.53545,1.51348,1.10407,0.51699,0.40521,0.41207,0.13647,0.39354,0.33501,0.2944,0.08306,2.11709,2.58435,1.52452,1.08785,0.0014456,0.0014456,0.0014456
16,1035.1,2.07256,2.4897,1.47701,1.10802,0.42809,0.33333,0.31987,0.09539,0.39239,0.27154,0.27097,0.07601,2.47982,2.91897,1.76635,1.22071,0.001406,0.001406,0.001406
17,1101.75,2.05984,2.49046,1.47117,1.11181,0.53631,0.46041,0.45005,0.17005,0.47902,0.41471,0.38844,0.1333,1.95368,2.39711,1.42725,1.0568,0.0013664,0.0013664,0.0013664
18,1166.08,2.04381,2.47619,1.47028,1.09415,0.53156,0.40479,0.4005,0.13341,0.50813,0.31904,0.33639,0.09695,2.20758,2.8273,1.54834,1.13025,0.0013268,0.0013268,0.0013268
19,1231.66,2.08691,2.53518,1.47517,1.10935,0.56715,0.42465,0.44184,0.16394,0.47681,0.4122,0.40596,0.13724,2.0263,2.31417,1.44848,1.06263,0.0012872,0.0012872,0.0012872
20,1296.81,2.06368,2.48577,1.45924,1.10506,0.54683,0.39765,0.39839,0.13801,0.48206,0.32997,0.33763,0.10682,2.20501,2.58902,1.47894,1.11194,0.0012476,0.0012476,0.0012476
21,1365.05,2.03122,2.46448,1.43139,1.09899,0.58147,0.41521,0.42352,0.14306,0.50768,0.35068,0.35537,0.10834,2.20547,2.60034,1.53893,1.11204,0.001208,0.001208,0.001208
22,1432,1.99511,2.43908,1.39542,1.08085,0.56362,0.42371,0.44272,0.15735,0.44003,0.38335,0.3622,0.10863,2.08478,2.44761,1.47858,1.07942,0.0011684,0.0011684,0.0011684
23,1496.42,1.98482,2.41377,1.39629,1.07436,0.53429,0.44935,0.45263,0.16858,0.45794,0.41824,0.41198,0.13956,2.12912,2.52539,1.49383,1.10774,0.0011288,0.0011288,0.0011288
24,1563.48,1.97208,2.4162,1.39753,1.08221,0.55015,0.467,0.45895,0.18029,0.49803,0.42034,0.41369,0.13796,1.89381,2.18958,1.44429,1.04792,0.0010892,0.0010892,0.0010892
25,1629.49,1.95656,2.38458,1.38191,1.07237,0.58924,0.46406,0.49236,0.18912,0.49714,0.40353,0.41697,0.14483,1.97275,2.2253,1.44018,1.05042,0.0010496,0.0010496,0.0010496
26,1694.54,1.94967,2.35446,1.38482,1.06351,0.54158,0.46028,0.46036,0.17876,0.43604,0.38798,0.38207,0.12133,2.01183,2.53614,1.39717,1.05625,0.00101,0.00101,0.00101
27,1758.48,1.90639,2.27228,1.32542,1.05929,0.57389,0.48676,0.47716,0.18821,0.54863,0.46364,0.46056,0.16758,1.93644,2.1979,1.3282,1.06755,0.0009704,0.0009704,0.0009704
