epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5996,2.46603,3.1543,3.57522,1.25823,0.59793,0.12533,0.19342,0.06934,0.59369,0.12444,0.19875,0.0583,2.15958,2.6094,3.08302,1.13499,0.00066087,0.00066087,0.00066087
2,146.425,2.22047,2.62286,2.17486,1.13531,0.30285,0.37185,0.22395,0.08673,0.28837,0.35407,0.22455,0.07686,2.17797,2.57258,2.22615,1.17238,0.00130125,0.00130125,0.00130125
3,203.557,2.22776,2.61905,1.82097,1.15243,0.41198,0.35,0.28755,0.09076,0.40361,0.34193,0.29413,0.08688,2.37482,2.6214,1.92817,1.29052,0.00191523,0.00191523,0.00191523
4,262.057,2.16653,2.54316,1.64558,1.13649,0.34502,0.32593,0.2628,0.09856,0.29799,0.2563,0.21712,0.06834,2.23954,3.23069,1.80117,1.15195,0.0018812,0.0018812,0.0018812
5,319.272,2.15627,2.50545,1.58033,1.11301,0.42177,0.35556,0.29433,0.09925,0.34461,0.2943,0.24382,0.06216,2.36775,2.81727,1.70244,1.18063,0.0018416,0.0018416,0.0018416
6,376.271,2.0796,2.44949,1.52939,1.09063,0.48525,0.41985,0.40526,0.14908,0.40733,0.32887,0.32129,0.10445,2.13524,2.24731,1.48843,1.1051,0.001802,0.001802,0.001802
7,435.429,2.08205,2.44822,1.52396,1.1004,0.51987,0.43793,0.43163,0.16483,0.44404,0.3732,0.35953,0.11401,2.0134,2.44414,1.44003,1.08978,0.0017624,0.0017624,0.0017624
8,493.022,2.00713,2.3293,1.42238,1.05986,0.56038,0.49007,0.47972,0.17809,0.47591,0.41837,0.41241,0.12961,2.01346,2.23422,1.33739,1.07645,0.0017228,0.0017228,0.0017228
9,550.572,2.01469,2.38773,1.4239,1.08055,0.4795,0.39081,0.38824,0.14839,0.45519,0.32385,0.34916,0.11625,2.15368,2.2897,1.42645,1.09546,0.0016832,0.0016832,0.0016832
10,607.699,2.02211,2.38448,1.43781,1.07946,0.52402,0.50044,0.48303,0.19276,0.48149,0.39941,0.41818,0.1446,1.98708,2.12897,1.36099,1.07701,0.0016436,0.0016436,0.0016436
11,666.754,2.01602,2.40918,1.41506,1.06997,0.49623,0.48356,0.4616,0.194,0.48026,0.43378,0.45333,0.1806,1.97814,2.17673,1.38199,1.09801,0.001604,0.001604,0.001604
12,724.465,1.93389,2.3037,1.3687,1.04715,0.50902,0.42815,0.41673,0.16271,0.47896,0.3523,0.37653,0.12817,2.08605,2.21611,1.45385,1.10552,0.0015644,0.0015644,0.0015644
13,781.259,1.93594,2.33033,1.35194,1.05115,0.52343,0.43868,0.43154,0.15827,0.4954,0.37185,0.38132,0.11439,2.17389,2.32004,1.42511,1.12428,0.0015248,0.0015248,0.0015248
14,839.224,1.94055,2.30258,1.3394,1.0447,0.51801,0.49956,0.44745,0.17693,0.44344,0.44241,0.3967,0.13132,1.96305,2.4045,1.33305,1.08672,0.0014852,0.0014852,0.0014852
15,895.948,1.91342,2.29152,1.34019,1.03033,0.45655,0.40593,0.39005,0.14092,0.37262,0.30585,0.3043,0.09847,2.20054,2.29364,1.53446,1.12792,0.0014456,0.0014456,0.0014456
16,953.046,1.89819,2.26762,1.33628,1.03193,0.47935,0.45333,0.4266,0.1485,0.39863,0.39319,0.35215,0.1012,2.19664,2.49953,1.4789,1.13215,0.001406,0.001406,0.001406
17,1009.8,1.90408,2.27969,1.33178,1.03366,0.5475,0.52326,0.49022,0.20507,0.49913,0.44089,0.4466,0.15946,1.93678,2.17965,1.26745,1.05969,0.0013664,0.0013664,0.0013664
18,1068.2,1.87095,2.21572,1.29781,1.02982,0.52648,0.45244,0.43515,0.16726,0.46671,0.40166,0.39611,0.13168,2.09412,2.35946,1.33107,1.09412,0.0013268,0.0013268,0.0013268
19,1125.17,1.87391,2.24526,1.28415,1.02357,0.53796,0.43733,0.4443,0.16516,0.46007,0.33333,0.36184,0.11193,2.17785,2.35036,1.38163,1.11941,0.0012872,0.0012872,0.0012872
20,1182.57,1.88949,2.25639,1.29158,1.02833,0.54605,0.50785,0.47387,0.19806,0.52393,0.45946,0.45456,0.16309,1.91102,2.09828,1.26489,1.05345,0.0012476,0.0012476,0.0012476
21,1240.69,1.83169,2.23109,1.2573,1.01384,0.41784,0.43941,0.38045,0.14312,0.29082,0.35644,0.28422,0.08956,2.24287,2.45048,1.58385,1.14436,0.001208,0.001208,0.001208
