epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2053,2.41102,3.18318,3.43689,1.30808,0.36806,0.20014,0.16372,0.05947,0.37146,0.202,0.16358,0.04384,2.45707,3.20013,2.72051,1.24934,0.000662835,0.000662835,0.000662835
2,191.99,2.28819,2.86448,2.03607,1.2162,0.40349,0.26983,0.21884,0.07573,0.39092,0.2808,0.23638,0.07091,2.52019,3.11239,2.32329,1.33793,0.00130318,0.00130318,0.00130318
3,282.259,2.2395,2.80368,1.68462,1.2113,0.4471,0.27032,0.24397,0.07536,0.45199,0.28279,0.26475,0.08012,2.59521,3.31918,1.95469,1.36626,0.00191712,0.00191712,0.00191712
4,373.814,2.2728,2.78954,1.62042,1.19975,0.40291,0.30524,0.27322,0.09751,0.36098,0.29027,0.25547,0.07082,2.48139,3.24246,1.75398,1.29844,0.0018812,0.0018812,0.0018812
5,462.783,2.23542,2.74829,1.57222,1.20608,0.3474,0.25187,0.21404,0.06672,0.337,0.23907,0.20026,0.05037,2.70979,3.78961,2.01435,1.3914,0.0018416,0.0018416,0.0018416
6,551.518,2.198,2.73421,1.50751,1.18236,0.44155,0.31022,0.26516,0.09246,0.43331,0.31958,0.287,0.08347,2.53295,3.07738,2.04258,1.33091,0.001802,0.001802,0.001802
7,643.182,2.14185,2.68025,1.46116,1.15968,0.43634,0.28279,0.25592,0.08934,0.44714,0.2783,0.25797,0.07176,2.51607,3.58231,1.92857,1.3413,0.0017624,0.0017624,0.0017624
8,735.305,2.14327,2.69287,1.46173,1.16124,0.46226,0.33666,0.3147,0.10564,0.46637,0.31272,0.31226,0.0894,2.56409,3.05188,1.70066,1.2917,0.0017228,0.0017228,0.0017228
9,824.167,2.12369,2.65113,1.40218,1.14945,0.43887,0.32369,0.30482,0.10987,0.42707,0.31272,0.30759,0.0928,2.38748,2.99701,1.72598,1.25487,0.0016832,0.0016832,0.0016832
10,915.548,2.09484,2.61052,1.36976,1.14207,0.47282,0.3197,0.29228,0.11235,0.50322,0.30474,0.29717,0.09648,2.38916,3.42033,1.791,1.26401,0.0016436,0.0016436,0.0016436
11,1010.86,2.06752,2.64647,1.35261,1.14278,0.41577,0.28529,0.25292,0.09264,0.44705,0.29825,0.28185,0.08086,2.40839,3.29722,1.85958,1.30528,0.001604,0.001604,0.001604
12,1102.78,2.06892,2.57692,1.3585,1.13526,0.48958,0.31095,0.30506,0.10786,0.46106,0.2803,0.28623,0.08158,2.38734,3.17433,1.76026,1.26827,0.0015644,0.0015644,0.0015644
13,1196.86,2.077,2.60488,1.35118,1.13332,0.44176,0.30623,0.2822,0.0999,0.43776,0.30872,0.29563,0.09577,2.47688,3.1056,1.78439,1.26784,0.0015248,0.0015248,0.0015248
14,1290.42,2.01192,2.57442,1.30557,1.12236,0.46245,0.32319,0.30584,0.11875,0.43876,0.31322,0.30257,0.09853,2.32161,3.11704,1.66441,1.22872,0.0014852,0.0014852,0.0014852
15,1382.72,2.01505,2.57181,1.30835,1.11091,0.42009,0.30973,0.29171,0.10227,0.42777,0.28628,0.29091,0.08652,2.48136,3.0337,1.77623,1.28107,0.0014456,0.0014456,0.0014456
16,1473.31,2.00247,2.54352,1.27921,1.11167,0.47582,0.33267,0.31024,0.11608,0.45185,0.31521,0.30093,0.08616,2.35835,3.3329,1.71382,1.26317,0.001406,0.001406,0.001406
17,1566.2,2.02413,2.54938,1.30792,1.11026,0.24694,0.17352,0.12053,0.03996,0.25161,0.17506,0.12744,0.03579,2.67519,3.34386,2.72404,1.33838,0.0013664,0.0013664,0.0013664
18,1660.82,2.00212,2.54799,1.27582,1.11213,0.44674,0.33516,0.29376,0.11919,0.4788,0.32768,0.30884,0.0982,2.37381,3.23419,1.61004,1.26916,0.0013268,0.0013268,0.0013268
19,1754.04,2.00521,2.54988,1.2747,1.10604,0.52545,0.31571,0.32566,0.12635,0.54825,0.29726,0.34035,0.11513,2.37743,3.03772,1.53466,1.25185,0.0012872,0.0012872,0.0012872
20,1848.46,1.96464,2.52288,1.24391,1.09717,0.43359,0.30125,0.27445,0.10407,0.43953,0.29476,0.29595,0.09387,2.50717,3.09811,1.74927,1.30741,0.0012476,0.0012476,0.0012476
21,1943.9,1.95948,2.50878,1.231,1.09405,0.48845,0.32219,0.32005,0.12306,0.5024,0.31521,0.33007,0.10585,2.3724,3.05929,1.55587,1.24044,0.001208,0.001208,0.001208
22,2036.26,1.95284,2.4872,1.21925,1.09351,0.48426,0.3197,0.29069,0.11356,0.4703,0.33766,0.30876,0.10382,2.39449,3.04399,1.67537,1.26829,0.0011684,0.0011684,0.0011684
23,2131.05,1.95427,2.49976,1.21158,1.09125,0.47555,0.33195,0.31128,0.11466,0.46229,0.32269,0.31211,0.09416,2.39113,3.15098,1.65061,1.25249,0.0011288,0.0011288,0.0011288
24,2225.67,1.94426,2.51741,1.20998,1.08936,0.4977,0.34115,0.32556,0.12996,0.52891,0.30424,0.31859,0.10088,2.39911,3.34764,1.58837,1.25902,0.0010892,0.0010892,0.0010892
25,2320.8,1.90934,2.48096,1.18854,1.07686,0.44549,0.31571,0.29092,0.11184,0.45282,0.29726,0.28491,0.08362,2.42161,3.28712,1.62371,1.25186,0.0010496,0.0010496,0.0010496
26,2415.66,1.89626,2.44624,1.17219,1.07476,0.43866,0.31521,0.27828,0.11496,0.43676,0.30474,0.2862,0.09805,2.3349,3.03009,1.65642,1.25214,0.00101,0.00101,0.00101
27,2511.14,1.9125,2.49902,1.18649,1.07333,0.50971,0.35362,0.33383,0.13501,0.52815,0.36758,0.36843,0.12388,2.3426,3.08366,1.49134,1.25105,0.0009704,0.0009704,0.0009704
28,2608.33,1.92945,2.49029,1.17863,1.07904,0.47255,0.33067,0.30304,0.11924,0.47626,0.32564,0.31977,0.10209,2.33232,2.97662,1.56174,1.23778,0.0009308,0.0009308,0.0009308
