epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8317,2.63624,3.37509,3.5921,1.38765,0.43389,0.07583,0.12785,0.0428,0.52626,0.09198,0.17511,0.05315,2.41944,2.88854,3.27459,1.29428,0.000661064,0.000661064,0.000661064
2,133.581,2.36354,2.78617,2.30985,1.22743,0.17501,0.16145,0.07376,0.02213,0.18687,0.17025,0.07699,0.02086,2.69062,3.51938,2.93752,1.24825,0.00130144,0.00130144,0.00130144
3,197.998,2.36401,2.82185,2.03283,1.23071,0.22619,0.2407,0.13043,0.03983,0.20045,0.21331,0.11384,0.02963,2.60407,3.54683,3.09669,1.43309,0.00191542,0.00191542,0.00191542
4,261.217,2.32749,2.71241,1.86226,1.2193,0.30629,0.25245,0.20558,0.07043,0.29785,0.26957,0.21013,0.06269,2.44649,2.76109,2.09786,1.22084,0.0018812,0.0018812,0.0018812
5,324.001,2.26917,2.66112,1.74444,1.18464,0.30924,0.29207,0.20291,0.06645,0.27945,0.29562,0.20419,0.05331,2.40805,2.92797,2.05668,1.20377,0.0018416,0.0018416,0.0018416
6,388.074,2.25378,2.65754,1.72787,1.17061,0.33985,0.28816,0.21678,0.08184,0.33973,0.29024,0.22868,0.07983,2.21888,2.63347,1.92082,1.15317,0.001802,0.001802,0.001802
7,450.953,2.26755,2.68977,1.67388,1.17295,0.40633,0.31164,0.26902,0.09498,0.41066,0.31115,0.28654,0.08438,2.30255,2.587,1.77811,1.17224,0.0017624,0.0017624,0.0017624
8,515.387,2.19766,2.58384,1.64216,1.14514,0.37834,0.32045,0.26909,0.08879,0.3993,0.34051,0.29254,0.08732,2.38723,2.57895,1.73589,1.21323,0.0017228,0.0017228,0.0017228
9,578.317,2.18002,2.56765,1.62484,1.14941,0.3931,0.30822,0.25699,0.0764,0.37975,0.30333,0.25507,0.06748,2.35376,2.79973,1.89699,1.21134,0.0016832,0.0016832,0.0016832
10,642.225,2.11561,2.50953,1.56323,1.12345,0.34793,0.31164,0.23675,0.0719,0.34725,0.2999,0.22122,0.05746,2.33679,2.98038,2.03666,1.2263,0.0016436,0.0016436,0.0016436
11,705.104,2.1299,2.53397,1.54268,1.12087,0.42429,0.34393,0.33007,0.12356,0.44217,0.31458,0.33342,0.10667,2.13536,2.59362,1.57785,1.11458,0.001604,0.001604,0.001604
12,768.653,2.106,2.5085,1.50689,1.11748,0.35843,0.28376,0.23781,0.08149,0.39191,0.28669,0.2651,0.07988,2.3722,2.8781,1.83379,1.20601,0.0015644,0.0015644,0.0015644
13,831.872,2.1056,2.54031,1.53353,1.11321,0.36317,0.30355,0.2392,0.08559,0.37923,0.32219,0.27705,0.08502,2.26343,2.76174,1.75322,1.19099,0.0015248,0.0015248,0.0015248
14,894.487,2.09287,2.47578,1.52412,1.12192,0.44738,0.33953,0.31628,0.11744,0.41238,0.33317,0.30952,0.09362,2.19022,2.72113,1.62031,1.11344,0.0014852,0.0014852,0.0014852
15,957.965,2.06943,2.46,1.47497,1.11057,0.46122,0.33757,0.31951,0.10702,0.45902,0.33219,0.33063,0.10032,2.29376,2.69047,1.60071,1.21098,0.0014456,0.0014456,0.0014456
16,1020.4,2.03463,2.41034,1.46959,1.10144,0.43771,0.37916,0.32932,0.10279,0.44455,0.35372,0.31301,0.08626,2.2298,2.72537,1.55485,1.12813,0.001406,0.001406,0.001406
17,1084.01,2.02012,2.36583,1.44469,1.08962,0.42574,0.34344,0.3094,0.10963,0.40596,0.318,0.29013,0.08469,2.24582,2.95563,1.5468,1.13896,0.0013664,0.0013664,0.0013664
18,1147.33,1.94573,2.26641,1.40076,1.0665,0.47113,0.38309,0.37596,0.14822,0.48883,0.38356,0.39291,0.13639,2.00095,2.27318,1.54313,1.05999,0.0013268,0.0013268,0.0013268
19,1210.36,1.95953,2.31008,1.40289,1.0737,0.35666,0.29207,0.24769,0.08369,0.29444,0.26908,0.20431,0.06097,2.3577,2.59993,1.91467,1.12773,0.0012872,0.0012872,0.0012872
20,1274.53,1.90643,2.26034,1.36515,1.06819,0.48618,0.3865,0.37827,0.15618,0.5028,0.40521,0.41266,0.15417,1.98577,2.21089,1.41666,1.07495,0.0012476,0.0012476,0.0012476
21,1337.8,1.93906,2.28436,1.37328,1.05741,0.43288,0.34542,0.32182,0.11715,0.38969,0.30871,0.29385,0.08327,2.18612,2.85337,1.51141,1.12267,0.001208,0.001208,0.001208
22,1401.81,1.92158,2.24863,1.35963,1.05995,0.43994,0.39677,0.34902,0.13043,0.44565,0.36986,0.33027,0.10209,2.06817,2.55107,1.516,1.07567,0.0011684,0.0011684,0.0011684
23,1464.46,1.88465,2.23354,1.3453,1.04984,0.49633,0.41243,0.40463,0.16405,0.54224,0.43982,0.46515,0.17983,1.97404,2.18737,1.45564,1.08966,0.0011288,0.0011288,0.0011288
24,1528.77,1.90049,2.22303,1.34303,1.059,0.43833,0.36791,0.32726,0.12665,0.44584,0.38416,0.34733,0.11175,2.10164,2.60148,1.48484,1.12304,0.0010892,0.0010892,0.0010892
25,1591.46,1.8905,2.222,1.34382,1.05543,0.40586,0.38199,0.32488,0.12668,0.41871,0.33464,0.32348,0.10521,2.1147,2.71068,1.47602,1.11289,0.0010496,0.0010496,0.0010496
26,1655.43,1.85213,2.16477,1.31326,1.04719,0.46099,0.37133,0.3641,0.13539,0.44686,0.36401,0.3591,0.12046,2.09509,2.45614,1.44935,1.09221,0.00101,0.00101,0.00101
27,1718.37,1.85245,2.17642,1.31444,1.04587,0.39674,0.34149,0.30475,0.09856,0.36049,0.32045,0.27928,0.08578,2.36639,2.8215,1.63108,1.15855,0.0009704,0.0009704,0.0009704
28,1781.33,1.83564,2.13924,1.28899,1.03801,0.48016,0.41243,0.39198,0.15625,0.51076,0.42188,0.442,0.16127,2.06127,2.25618,1.42819,1.12259,0.0009308,0.0009308,0.0009308
29,1845.17,1.82524,2.10261,1.27076,1.03736,0.46722,0.42955,0.40053,0.17288,0.47932,0.41536,0.41787,0.15552,1.89234,2.15235,1.43918,1.04698,0.0008912,0.0008912,0.0008912
30,1908.45,1.81432,2.10618,1.27079,1.02911,0.41214,0.35029,0.30166,0.1127,0.43628,0.35225,0.32823,0.10277,2.22662,2.63768,1.60858,1.16027,0.0008516,0.0008516,0.0008516
31,1973.31,1.81472,2.10231,1.24339,1.03169,0.54167,0.45059,0.4625,0.19876,0.55226,0.46707,0.49822,0.19832,1.83378,2.0499,1.26188,1.0348,0.000812,0.000812,0.000812
32,2036.83,1.76917,2.07357,1.22042,1.02015,0.49427,0.39782,0.39456,0.16404,0.52078,0.38552,0.41072,0.14886,1.94049,2.34113,1.34471,1.0596,0.0007724,0.0007724,0.0007724
33,2100.49,1.77743,2.05236,1.20981,1.02318,0.50641,0.45401,0.43135,0.1806,0.53856,0.44653,0.46172,0.17208,1.89957,2.11354,1.31349,1.04778,0.0007328,0.0007328,0.0007328
34,2163.96,1.73773,2.0233,1.18809,1.00687,0.47615,0.42379,0.39046,0.15486,0.48994,0.41389,0.41085,0.14303,1.99903,2.26361,1.35527,1.0771,0.0006932,0.0006932,0.0006932
35,2228.15,1.75791,2.06638,1.21333,1.01709,0.52689,0.45004,0.43983,0.18484,0.56751,0.4589,0.48174,0.18065,1.86305,2.13136,1.28866,1.04339,0.0006536,0.0006536,0.0006536
36,2291.45,1.73494,2.01244,1.16361,1.01241,0.50696,0.43716,0.42887,0.17962,0.53196,0.4501,0.4694,0.17312,1.87331,2.1538,1.34748,1.04734,0.000614,0.000614,0.000614
37,2356.53,1.72119,2.01292,1.16831,1.01202,0.51165,0.43885,0.42638,0.1727,0.52004,0.42074,0.43495,0.15309,1.94847,2.17804,1.3121,1.05067,0.0005744,0.0005744,0.0005744
38,2419.77,1.73709,2.03154,1.1792,1.01121,0.45921,0.4002,0.36609,0.14681,0.47005,0.38943,0.37794,0.12964,1.99739,2.44981,1.40086,1.07577,0.0005348,0.0005348,0.0005348
39,2485.15,1.70509,1.98424,1.16531,1.0018,0.48324,0.42123,0.41488,0.16835,0.43754,0.39427,0.3857,0.13442,1.96673,2.33539,1.41724,1.04208,0.0004952,0.0004952,0.0004952
40,2548.36,1.71398,1.96992,1.155,1.00173,0.51879,0.47358,0.45769,0.19397,0.55378,0.48973,0.51251,0.20906,1.82676,2.04296,1.28859,1.02844,0.0004556,0.0004556,0.0004556
41,2609.34,1.73512,2.0579,1.1882,1.03193,0.51673,0.43395,0.41766,0.15794,0.54229,0.42951,0.43191,0.14734,1.99073,2.33319,1.31563,1.08215,0.000416,0.000416,0.000416
42,2666.79,1.7101,2.0094,1.16845,1.02061,0.45542,0.38209,0.3568,0.12851,0.45059,0.34932,0.34437,0.10942,2.19002,2.46883,1.44738,1.12608,0.0003764,0.0003764,0.0003764
43,2724.79,1.70851,2.00327,1.15803,1.01896,0.52954,0.45401,0.44478,0.18538,0.52614,0.46673,0.47406,0.17628,1.85042,2.20271,1.28195,1.03208,0.0003368,0.0003368,0.0003368
44,2782.46,1.69269,1.99665,1.16279,1.01775,0.49771,0.45695,0.43034,0.17756,0.53102,0.45597,0.46129,0.16901,1.87764,2.12819,1.29056,1.04403,0.0002972,0.0002972,0.0002972
45,2840,1.6844,1.97552,1.13983,1.01561,0.50675,0.43176,0.41999,0.16744,0.52057,0.43559,0.43739,0.15613,1.97812,2.28938,1.34675,1.06908,0.0002576,0.0002576,0.0002576
46,2897.97,1.67242,1.9865,1.11916,1.00646,0.53056,0.44276,0.44108,0.18461,0.52376,0.43297,0.45677,0.16509,1.8822,2.23767,1.31345,1.03039,0.000218,0.000218,0.000218
47,2956.25,1.6772,1.97142,1.13323,1.0062,0.51317,0.41389,0.41146,0.16258,0.4917,0.38808,0.3959,0.13423,1.96892,2.27047,1.3696,1.04899,0.0001784,0.0001784,0.0001784
48,3014.51,1.63882,1.9315,1.10529,1.00034,0.5428,0.46477,0.45788,0.19283,0.56825,0.47585,0.49393,0.18838,1.85961,2.14002,1.2861,1.04049,0.0001388,0.0001388,0.0001388
49,3072.22,1.62895,1.91303,1.09353,0.99444,0.5134,0.4638,0.43337,0.1839,0.50474,0.45597,0.44889,0.16236,1.85645,2.2311,1.2875,1.02858,9.92e-05,9.92e-05,9.92e-05
50,3129.08,1.62353,1.94547,1.08659,0.99427,0.51884,0.46688,0.44305,0.18599,0.54427,0.45575,0.47387,0.17343,1.87461,2.24343,1.26077,1.0398,5.96e-05,5.96e-05,5.96e-05
